Vivado Simulator 2018.3
Time resolution is 1 ps
                   0Count Q=0000, Clear=0
                  50Count Q=0000, Clear=1
                  60Count Q=0001, Clear=1
                  70Count Q=0010, Clear=1
                  80Count Q=0011, Clear=1
                  90Count Q=0100, Clear=1
                 100Count Q=0101, Clear=1
                 110Count Q=0110, Clear=1
                 120Count Q=0111, Clear=1
                 130Count Q=1000, Clear=1
                 140Count Q=1001, Clear=1
                 150Count Q=1010, Clear=1
                 160Count Q=1011, Clear=1
                 170Count Q=1100, Clear=1
                 180Count Q=1101, Clear=1
                 190Count Q=1110, Clear=1
                 200Count Q=1111, Clear=1
                 210Count Q=0000, Clear=1
                 220Count Q=0001, Clear=1
                 230Count Q=0010, Clear=1
                 240Count Q=0011, Clear=1
                 250Count Q=0100, Clear=1
                 260Count Q=0101, Clear=1
                 270Count Q=0110, Clear=1
                 280Count Q=0111, Clear=1
                 290Count Q=1000, Clear=1
                 300Count Q=1001, Clear=1
                 310Count Q=1010, Clear=1
                 320Count Q=1011, Clear=1
                 330Count Q=1100, Clear=1
                 340Count Q=1101, Clear=1
                 350Count Q=1110, Clear=1
                 360Count Q=1111, Clear=1
                 370Count Q=0000, Clear=1
                 380Count Q=0001, Clear=1
                 390Count Q=0010, Clear=1
                 400Count Q=0011, Clear=1
                 410Count Q=0100, Clear=1
                 420Count Q=0101, Clear=1
                 430Count Q=0110, Clear=1
                 440Count Q=0111, Clear=1
                 450Count Q=1000, Clear=1
                 460Count Q=1001, Clear=1
                 470Count Q=1010, Clear=1
                 480Count Q=1011, Clear=1
                 490Count Q=1100, Clear=1
$finish called at time : 500 ns : File "/home/shubham/Vivado Exercises/project_1/project_1.srcs/sim_1/new/JKMasterSimulation.v" Line 47
