Vivado Simulator 2018.3
Time resolution is 1 ps
q=00000101, i=00000000000000000000000000000101 
q=00000110, i=00000000000000000000000000000110 
q=00000111, i=00000000000000000000000000000111 
q=00001000, i=00000000000000000000000000001000 
q=00001001, i=00000000000000000000000000001001 
q=00001010, i=00000000000000000000000000001010 
q=00001011, i=00000000000000000000000000001011 
q=00001100, i=00000000000000000000000000001100 
q=00001101, i=00000000000000000000000000001101 
q=00001110, i=00000000000000000000000000001110 
q=00001111, i=00000000000000000000000000001111 
q=00010000, i=00000000000000000000000000010000 
q=00010001, i=00000000000000000000000000010001 
q=00010010, i=00000000000000000000000000010010 
q=00010011, i=00000000000000000000000000010011 
q=00010100, i=00000000000000000000000000010100 
q=00010101, i=00000000000000000000000000010101 
q=00010110, i=00000000000000000000000000010110 
q=00010111, i=00000000000000000000000000010111 
q=00011000, i=00000000000000000000000000011000 
q=00011001, i=00000000000000000000000000011001 
q=00011010, i=00000000000000000000000000011010 
q=00011011, i=00000000000000000000000000011011 
q=00011100, i=00000000000000000000000000011100 
q=00011101, i=00000000000000000000000000011101 
q=00011110, i=00000000000000000000000000011110 
q=00011111, i=00000000000000000000000000011111 
q=00100000, i=00000000000000000000000000100000 
q=00100001, i=00000000000000000000000000100001 
q=00100010, i=00000000000000000000000000100010 
q=00100011, i=00000000000000000000000000100011 
q=00100100, i=00000000000000000000000000100100 
q=00100101, i=00000000000000000000000000100101 
q=00100110, i=00000000000000000000000000100110 
q=00100111, i=00000000000000000000000000100111 
q=00101000, i=00000000000000000000000000101000 
q=00101001, i=00000000000000000000000000101001 
q=00101010, i=00000000000000000000000000101010 
q=00101011, i=00000000000000000000000000101011 
q=00101100, i=00000000000000000000000000101100 
q=00101101, i=00000000000000000000000000101101 
q=00101110, i=00000000000000000000000000101110 
q=00101111, i=00000000000000000000000000101111 
q=00110000, i=00000000000000000000000000110000 
q=00110001, i=00000000000000000000000000110001 
q=00110010, i=00000000000000000000000000110010 
q=00110011, i=00000000000000000000000000110011 
q=00110100, i=00000000000000000000000000110100 
q=00110101, i=00000000000000000000000000110101 
q=00110110, i=00000000000000000000000000110110 
q=00110111, i=00000000000000000000000000110111 
q=00111000, i=00000000000000000000000000111000 
q=00111001, i=00000000000000000000000000111001 
q=00111010, i=00000000000000000000000000111010 
q=00111011, i=00000000000000000000000000111011 
q=00111100, i=00000000000000000000000000111100 
q=00111101, i=00000000000000000000000000111101 
q=00111110, i=00000000000000000000000000111110 
q=00111111, i=00000000000000000000000000111111 
q=01000000, i=00000000000000000000000001000000 
q=01000001, i=00000000000000000000000001000001 
q=01000010, i=00000000000000000000000001000010 
q=01000011, i=00000000000000000000000001000011 
$finish called at time : 800 ns : File "/home/shubham/Vivado Exercises/project_6/project_6.srcs/sim_1/new/test.v" Line 41
